query_id;plan_id;stage_id;pipeline_id;dop;query_dop;operator_type;execution_time;l_input_rows;r_input_rows;peak_mem;output_rows;child_plan
3;40;5;0;8;8;FilterProject;217.600;5736314;0;4160;5736314;39
3;41;5;0;8;8;PartitionedOutput;296.980;5736314;0;576192;5736314;40
3;42;6;0;2;8;TableScanOperator;0.621;25;0;26816;25;
3;43;6;0;2;8;PartitionedOutput;0.247;25;0;17344;25;42
4;0;0;0;1;128;MergeOperator;2470.000;3885517;0;52182050;3885517;16
4;1;0;0;1;128;ExplainAnalyzeOperator;4.913;3885517;0;0;1;0
4;2;0;0;1;128;TaskOutputOperator;0.086;1;0;0;1;1
4;3;1;1;128;128;ExchangeOperator;863.995;3885517;0;12763136;3885517;16
4;4;1;1;128;128;OrderBy;7809.280;3885517;0;99274560;3885517;3
4;5;1;0;4;128;LocalMerge;1260.009;0;0;454656;3885517;6
4;6;1;1;128;128;CallbackSink;26.430;3885517;0;0;0;4
4;7;1;0;4;128;PartitionedOutput;1582.950;3885517;0;38095488;3885517;5
4;8;2;3;128;128;LocalExchangeSourceOperator;850.120;11474023;0;3299328;11474023;26
4;9;2;2;128;128;HashBuilderOperator;37693.010;11474023;0;42050048;0;27
4;10;2;1;128;128;ExchangeOperator;2910.587;15000000;0;14155776;15000000;29
4;11;2;1;128;128;LookupJoinOperator;2803.090;15000000;0;2140160;11474023;9,10
4;12;2;0;128;128;LocalExchangeSinkOperator;732.169;3885541;0;0;3885541;19
4;13;2;1;128;128;LookupJoinOperator;884.160;11474023;0;231424;11474023;24,11
4;14;2;0;128;128;Aggregation;33954.750;3885541;0;14247936;3885517;12
4;15;2;1;128;128;FilterProject;369.420;11474023;0;12288;11474023;13
4;16;2;0;128;128;PartitionedOutput;5418.620;3885517;0;6811520;3885517;14
4;17;2;1;128;128;PartialAggregation;14526.510;11474023;0;62939264;3885541;15
4;18;2;1;128;128;FilterProject;45.660;3885541;0;0;3885541;17
4;19;2;1;128;128;LocalExchangeSourceOperator;1891.520;3885541;0;534720;3885541;18
4;20;2;5;128;128;ExchangeOperator;1.048;100;0;1152;100;43
4;21;2;5;128;128;FilterProject;3.722;100;0;0;100;20
4;22;2;4;128;128;LocalExchangeSinkOperator;3.020;100;0;0;100;23
4;23;2;5;128;128;LocalExchangeSourceOperator;20.650;100;0;4096;100;21
4;24;2;4;128;128;HashBuilderOperator;18.950;100;0;131072;0;22
4;25;2;3;128;128;ExchangeOperator;437.900;11474023;0;24903680;11474023;37
4;26;2;3;128;128;FilterProject;23.500;11474023;0;0;11474023;25
4;27;2;2;128;128;LocalExchangeSinkOperator;161.662;11474023;0;0;11474023;8
4;28;3;0;128;128;TableScanOperator;7170.518;15000000;0;90506752;15000000;
4;29;3;0;128;128;PartitionedOutput;10611.910;15000000;0;16729344;15000000;28
4;30;4;2;128;128;FilterProject;18.286;22945256;0;0;22945256;38
4;31;4;1;128;128;LocalExchangeSinkOperator;86.363;22945256;0;0;22945256;32
4;32;4;2;128;128;LocalExchangeSourceOperator;1021.900;22945256;0;4382720;22945256;30
4;33;4;1;128;128;HashBuilderOperator;36197.670;22945256;0;80544256;0;31
4;34;4;0;128;128;TableScanOperator;44470.319;148067261;0;231818688;148067261;
4;35;4;0;128;128;FilterProject;2109.580;148067261;0;13056;148067261;34
4;36;4;0;128;128;LookupJoinOperator;8230.320;148067261;0;139264;11474023;33,35
4;37;4;0;128;128;PartitionedOutput;4000.590;11474023;0;1497088;11474023;36
4;38;4;2;128;128;ExchangeOperator;3350.325;22945256;0;20971520;22945256;41
4;39;5;0;128;128;TableScanOperator;14320.305;5736314;0;97138944;5736314;
4;40;5;0;128;128;FilterProject;323.970;5736314;0;4160;5736314;39
4;41;5;0;128;128;PartitionedOutput;487.460;5736314;0;1067712;5736314;40
4;42;6;0;32;128;TableScanOperator;7.046;25;0;26816;25;
4;43;6;0;32;128;PartitionedOutput;2.446;25;0;17344;25;42
5;0;0;0;1;160;MergeOperator;2550.000;3885517;0;50765717;3885517;16
5;1;0;0;1;160;ExplainAnalyzeOperator;5.383;3885517;0;0;1;0
5;2;0;0;1;160;TaskOutputOperator;0.110;1;0;0;1;1
5;3;1;1;160;160;ExchangeOperator;834.825;3885517;0;12107776;3885517;16
5;4;1;1;160;160;OrderBy;8043.370;3885517;0;99310784;3885517;3
5;5;1;0;4;160;LocalMerge;1310.009;0;0;454656;3885517;6
5;6;1;1;160;160;CallbackSink;25.110;3885517;0;0;0;4
5;7;1;0;4;160;PartitionedOutput;1530.430;3885517;0;38382208;3885517;5
5;8;2;3;160;160;LocalExchangeSourceOperator;1626.210;11474023;0;11964544;11474023;26
5;9;2;2;160;160;HashBuilderOperator;27413.370;11474023;0;42353152;0;27
5;10;2;1;160;160;ExchangeOperator;2820.830;15000000;0;12353536;15000000;29
5;11;2;1;160;160;LookupJoinOperator;2589.370;15000000;0;2140160;11474023;9,10
5;12;2;0;160;160;LocalExchangeSinkOperator;122.753;3885539;0;0;3885539;19
5;13;2;1;160;160;LookupJoinOperator;818.400;11474023;0;231424;11474023;24,11
5;14;2;0;160;160;Aggregation;22853.470;3885539;0;12161024;3885517;12
5;15;2;1;160;160;FilterProject;361.660;11474023;0;12288;11474023;13
5;16;2;0;160;160;PartitionedOutput;6358.550;3885517;0;4931456;3885517;14
5;17;2;1;160;160;PartialAggregation;11108.620;11474023;0;34725888;3885539;15
5;18;2;1;160;160;FilterProject;49.290;3885539;0;0;3885539;17
5;19;2;1;160;160;LocalExchangeSourceOperator;3618.890;3885539;0;34884224;3885539;18
5;20;2;5;160;160;ExchangeOperator;1.249;100;0;1152;100;43
5;21;2;5;160;160;FilterProject;4.224;100;0;0;100;20
5;22;2;4;160;160;LocalExchangeSinkOperator;2.960;100;0;0;100;23
5;23;2;5;160;160;LocalExchangeSourceOperator;15.763;100;0;108928;100;21
5;24;2;4;160;160;HashBuilderOperator;25.630;100;0;131072;0;22
5;25;2;3;160;160;ExchangeOperator;346.446;11474023;0;5767168;11474023;37
5;26;2;3;160;160;FilterProject;25.380;11474023;0;0;11474023;25
5;27;2;2;160;160;LocalExchangeSinkOperator;67.984;11474023;0;0;11474023;8
5;28;3;0;160;160;TableScanOperator;7070.680;15000000;0;22862592;15000000;
5;29;3;0;160;160;PartitionedOutput;9500.040;15000000;0;26653952;15000000;28
5;30;4;2;160;160;FilterProject;15.642;22945256;0;0;22945256;38
5;31;4;1;160;160;LocalExchangeSinkOperator;45.886;22945256;0;0;22945256;32
5;32;4;2;160;160;LocalExchangeSourceOperator;2059.450;22945256;0;13110272;22945256;30
5;33;4;1;160;160;HashBuilderOperator;21791.350;22945256;0;80888320;0;31
5;34;4;0;160;160;TableScanOperator;55950.394;148067261;0;214959488;148067261;
5;35;4;0;160;160;FilterProject;2167.930;148067261;0;13056;148067261;34
5;36;4;0;160;160;LookupJoinOperator;8175.000;148067261;0;139264;11474023;33,35
5;37;4;0;160;160;PartitionedOutput;4725.580;11474023;0;1497088;11474023;36
5;38;4;2;160;160;ExchangeOperator;2110.387;22945256;0;16777216;22945256;41
5;39;5;0;160;160;TableScanOperator;11860.416;5736314;0;59483392;5736314;
5;40;5;0;160;160;FilterProject;348.090;5736314;0;4160;5736314;39
5;41;5;0;160;160;PartitionedOutput;992.870;5736314;0;1903296;5736314;40
5;42;6;0;40;160;TableScanOperator;13.228;25;0;26816;25;
5;43;6;0;40;160;PartitionedOutput;2.520;25;0;17344;25;42
6;0;0;0;1;16;MergeOperator;3080.000;3885517;0;53961712;3885517;16
6;1;0;0;1;16;ExplainAnalyzeOperator;4.852;3885517;0;0;1;0
6;2;0;0;1;16;TaskOutputOperator;0.086;1;0;0;1;1
