query_num;query_id;plan_id;stage_id;pipeline_id;dop;query_dop;operator_type;execution_time;add_input_wall_ms;get_output_wall_ms;finish_wall_ms;blocked_wall_ms;is_blocked_wall_ms;l_input_rows;r_input_rows;input_rows;raw_input_rows;output_rows;input_bytes;raw_input_bytes;output_bytes;output_per_input_rows;output_per_input_bytes;bytes_per_input_row;bytes_per_output_row;blocked_ratio;add_input_calls;get_output_calls;finish_calls;total_drivers;peak_mem;user_mem;revocable_mem;system_mem;spilled_bytes;physical_written_bytes;build_keys;null_build_keys;probe_keys;null_probe_keys;input_avg_rows_per_call;input_var_proxy;child_count;is_leaf;is_exchange_like;is_join;child_plan;execution_time_per_dop
10;1;28;3;0;64;64;TableScanOperator;89.8481;0.000;5750.000;0.279;104.180;5750.000;15000000;0;15000000;15000000;15000000;3567367551;2466643341;3567367551;1.000000;1.000000;237.824503;237.824503;0.017795;0;3130;64;64;89997056;335844224;0;0;0;0;0;0;0;0;0.000000;0.000000;0;1;0;0;;89.8481
10;1;29;3;0;64;64;PartitionedOutput;143.99;759.270;8450.000;6.080;24540.000;8450.000;15000000;0;15000000;0;15000000;0;0;2497730579;1.000000;0.000000;0.000000;166.515372;0.726996;1503;1943;2007;64;26711296;142577664;0;0;0;0;0;0;0;0;9980.039920;41817040804.904594;1;0;0;0;28;143.99
10;1;30;4;2;64;64;FilterProject;0.225312;0.870;9.520;4.030;0.000;9.520;22697372;0;22697372;0;22697372;436878520;0;436878520;1.000000;1.000000;19.247978;19.247978;0.000000;260;1737;1541;64;0;0;0;0;0;0;0;0;0;0;87297.584615;487735569899.535156;1;0;0;0;38;0.225312
10;1;31;4;1;64;64;LocalExchangeSinkOperator;0.571172;0.000;36.410;0.145;2060.000;36.410;22697372;0;22697372;0;22697372;436874476;0;436874476;1.000000;1.000000;19.247800;19.247800;0.982564;0;4925;64;64;0;0;0;0;0;0;0;0;0;0;0.000000;0.000000;1;0;1;0;32;0.571172
10;1;32;4;2;64;64;LocalExchangeSourceOperator;14.0233;888.340;4.460;4.690;14.140;4.460;22697372;0;22697372;0;22697372;436878520;0;436878520;1.000000;1.000000;19.247978;19.247978;0.015511;260;1541;1605;64;4710400;62170112;0;0;0;0;0;0;0;0;87297.584615;487735569899.535156;1;0;1;0;30;14.0233
10;1;33;4;1;64;64;HashBuilderOperator;262.883;11950.000;4370.000;504.500;8480.000;4370.000;22697372;0;22697372;0;0;436874476;0;0;0.000000;0.000000;19.247800;0.000000;0.335118;4160;5117;5053;64;86212864;1090519040;0;0;0;0;22697372;0;0;0;5456.099038;30930008369.483459;1;0;0;0;31;262.883
10;1;34;4;0;64;64;TableScanOperator;285.159;0.000;18250.000;0.150;0.000;18250.000;148067261;0;148067261;600037902;148067261;10630694763;9540886671;10630694763;1.000000;1.000000;71.796390;71.796390;0.000000;0;180844;64;64;105918464;252424192;0;0;0;0;0;0;0;0;0.000000;0.000000;0;1;0;0;;285.159
10;1;35;4;0;64;64;FilterProject;28.8055;144.200;1560.000;139.350;0.000;1560.000;148067261;0;148067261;600037902;148067261;6317516474;9540886671;0;1.000000;0.000000;42.666532;0.000000;0.000000;60260;120651;60455;64;13056;827392;0;0;0;0;0;0;0;0;2457.140076;91137956678.281128;1;0;0;0;34;28.8055
10;1;36;4;0;64;64;LookupJoinOperator;104.73;5430.000;1130.000;142.710;23420.000;1130.000;148067261;0;148067261;0;11350694;0;0;173761684;0.076659;0.000000;0.000000;15.308463;0.777486;60260;120731;60531;64;142336;7340032;0;0;0;0;0;0;148067261;0;2457.140076;91137956678.281128;2;0;0;1;33,35;104.73
10;1;37;4;0;64;64;PartitionedOutput;42.0775;1490.000;1060.000;142.960;0.000;1060.000;11350694;0;11350694;0;11350694;173761684;0;272520632;1.000000;1.568359;15.308463;24.009160;0.000000;60260;60611;60675;64;1562624;45637632;0;0;0;0;0;0;0;0;188.361998;535574983.316120;1;0;0;0;36;42.0775
10;1;38;4;2;64;64;ExchangeOperator;30.7837;0.000;1970.000;0.159;9790.000;1970.000;22697372;0;22697372;22697372;22697372;436878520;363309656;436878520;1.000000;1.000000;19.247978;19.247978;0.832472;0;324;64;64;20447232;284033024;0;0;0;0;0;0;0;0;0.000000;0.000000;1;0;1;0;41;30.7837
10;1;39;5;0;64;64;TableScanOperator;121.565;0.000;7780.000;0.157;274.060;7780.000;5674343;0;5674343;150000000;5674343;846571986;2719815400;846571986;1.000000;1.000000;149.192953;149.192953;0.034027;0;30250;64;64;95515648;300794240;0;0;0;0;0;0;0;0;0.000000;0.000000;0;1;0;0;;121.565
10;1;40;5;0;64;64;FilterProject;4.74109;38.140;227.520;37.770;0.000;227.520;5674343;0;5674343;150000000;5674343;735756432;2719815400;0;1.000000;0.000000;129.663722;0.000000;0.000000;15071;30314;15307;64;4160;152512;0;0;0;0;0;0;0;0;376.507398;543114776.844332;1;0;0;0;39;4.74109
10;1;41;5;0;64;64;PartitionedOutput;6.88094;126.530;275.950;37.900;0.000;275.950;5674343;0;5674343;0;5674343;0;0;90827414;1.000000;0.000000;0.000000;16.006684;0.000000;15071;15307;15371;64;1166016;38494208;0;0;0;0;0;0;0;0;376.507398;543114776.844332;1;0;0;0;40;6.88094
10;1;42;6;0;16;64;TableScanOperator;0.117688;0.000;1.798;0.085;59.055;0.368;25;0;25;25;25;25312;3730;25312;1.000000;1.000000;1012.480000;1012.480000;0.969101;0;34;16;16;26816;26688;0;0;0;0;0;0;0;0;0.000000;0.000000;0;1;0;0;;0.117688
10;1;43;6;0;16;64;PartitionedOutput;0.053;0.035;0.444;0.369;0.000;0.515;25;0;25;0;25;0;0;447;1.000000;0.000000;0.000000;17.880000;0.000000;1;49;65;16;17344;8192;0;0;0;0;0;0;0;0;25.000000;0.000000;1;0;0;0;42;0.053
11;2;0;0;0;1;64;MergeOperator;0.07;0.000;0.070;0.000;356.830;0.000;0;0;0;0;0;0;0;0;0.000000;0.000000;0.000000;0.000000;0.999803;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0.000000;0.000000;1;0;1;0;7;0.07
11;2;1;0;0;1;64;ExplainAnalyzeOperator;109.002;0.000;108.960;0.042;0.000;0.000;0;0;0;0;1;0;0;19865;0.000000;0.000000;0.000000;19865.000000;0.000000;0;4;3;1;0;0;0;0;0;0;0;0;0;0;0.000000;0.000000;1;0;0;0;0;109.002
11;2;2;0;0;1;64;TaskOutputOperator;0.135;0.128;0.000;0.006;0.000;0.000;1;0;1;0;1;19865;0;19865;1.000000;1.000000;19865.000000;19865.000000;0.000000;1;0;1;1;0;0;0;0;0;0;0;0;0;0;1.000000;0.000000;1;0;0;0;1;0.135
11;2;3;1;1;64;64;ExchangeOperator;0.00564062;0.000;0.210;0.151;22320.000;0.210;0;0;0;0;0;0;0;0;0.000000;0.000000;0.000000;0.000000;0.999984;0;64;64;64;0;0;0;0;0;0;0;0;0;0;0.000000;0.000000;1;0;1;0;17;0.00564062
11;2;4;1;1;64;64;OrderBy;0.0280469;0.000;0.812;0.983;0.000;0.812;0;0;0;0;0;0;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0;192;256;64;0;0;0;0;0;0;0;0;0;0;0.000000;0.000000;1;0;0;0;3;0.0280469
11;2;5;1;0;4;64;LocalMerge;0.04225;0.000;0.160;0.009;1400.000;0.160;0;0;0;0;0;0;0;0;0.000000;0.000000;0.000000;0.000000;0.999880;0;4;4;4;24576;0;0;0;0;0;0;0;0;0;0.000000;0.000000;1;0;1;0;6;0.04225
11;2;6;1;1;64;64;CallbackSink;0.0445;0.000;0.938;1.910;51.650;0.938;0;0;0;0;0;0;0;0;0.000000;0.000000;0.000000;0.000000;0.947744;0;256;320;64;0;0;0;0;0;0;0;0;0;0;0.000000;0.000000;1;0;0;0;4;0.0445
11;2;7;1;0;4;64;PartitionedOutput;0.128;0.000;0.323;0.189;0.000;0.323;0;0;0;0;0;0;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0;72;76;4;0;0;0;0;0;0;0;0;0;0;0.000000;0.000000;1;0;0;0;5;0.128
11;2;8;2;3;64;64;LocalExchangeSourceOperator;0.0491562;0.486;1.130;1.530;0.000;1.130;4;0;4;0;4;128;0;128;1.000000;1.000000;32.000000;32.000000;0.000000;4;324;388;64;0;0;0;0;0;0;0;0;0;0;1.000000;0.000000;1;0;1;0;19;0.0491562
11;2;9;2;2;4;64;NestedLoopJoinBuild;0.61075;0.012;0.061;2.370;0.000;0.061;0;0;4;0;0;128;0;0;0.000000;0.000000;32.000000;0.000000;0.000000;4;20;24;4;0;0;0;0;0;0;0;0;0;0;1.000000;0.000000;1;0;0;1;20;0.61075
11;2;10;2;1;64;64;ExchangeOperator;0.847219;0.000;54.070;0.152;21030.000;54.070;3007434;0;3007434;3007434;3007434;62302674;48148365;62302674;1.000000;1.000000;20.716223;20.716223;0.997428;0;328;64;64;4784256;27533312;0;0;0;0;0;0;0;0;0.000000;0.000000;1;0;1;0;29;0.847219
11;2;11;2;1;64;64;FilterProject;0.176484;0.765;6.370;4.160;0.000;6.370;3007434;0;3007434;0;3007434;62302674;0;62302674;1.000000;1.000000;20.716223;20.716223;0.000000;264;1712;1512;64;0;0;0;0;0;0;0;0;0;0;11391.795455;8435252165.829373;1;0;0;0;10;0.176484
11;2;12;2;0;64;64;LocalExchangeSinkOperator;0.518453;0.000;33.040;0.141;3060.000;33.040;3007434;0;3007434;0;3007434;62298572;0;62298572;1.000000;1.000000;20.714859;20.714859;0.989273;0;5729;64;64;0;0;0;0;0;0;0;0;0;0;0.000000;0.000000;1;0;1;0;13;0.518453
11;2;13;2;1;64;64;LocalExchangeSourceOperator;2.79562;169.320;4.500;5.100;0.000;4.500;3007434;0;3007434;0;3007434;62302674;0;62302674;1.000000;1.000000;20.716223;20.716223;0.000000;264;1512;1576;64;1056768;8020608;0;0;0;0;0;0;0;0;11391.795455;8435252165.829373;1;0;1;0;11;2.79562
11;2;14;2;0;64;64;Aggregation;70.1755;4230.000;246.410;14.820;0.000;246.410;3007434;0;3007434;0;3007434;62298572;0;62853120;1.000000;1.008901;20.714859;20.899252;0.000000;4224;6113;5857;64;3493888;0;0;0;0;0;0;0;0;0;711.987216;534807147.298606;1;0;0;0;12;70.1755
11;2;15;2;0;64;64;NestedLoopJoinProbe;0.196359;0.827;6.690;5.050;13940.000;6.690;0;0;3007434;0;3007434;62853120;0;62855665;1.000000;1.000040;20.899252;20.900098;0.999099;320;2273;2017;64;0;0;0;0;0;0;0;0;0;0;9398.231250;6977819014.215274;1;0;0;1;14;0.196359
11;2;16;2;0;64;64;FilterProject;0.621109;0.791;33.250;5.710;0.000;33.250;3007434;0;3007434;0;0;62855665;0;0;0.000000;0.000000;20.900098;0.000000;0.000000;320;2081;2145;64;52224;3244032;0;0;0;0;0;0;0;0;9398.231250;6977819014.215274;1;0;0;0;15;0.621109
11;2;17;2;0;64;64;PartitionedOutput;0.179219;0.000;6.390;5.080;0.000;6.390;0;0;0;0;0;0;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0;1825;1889;64;0;0;0;0;0;0;0;0;0;0;0.000000;0.000000;1;0;0;0;16;0.179219
11;2;18;2;3;64;64;ExchangeOperator;0.00876563;0.000;0.377;0.184;13840.000;0.377;4;0;4;4;4;128;208;128;1.000000;1.000000;32.000000;32.000000;0.999959;0;68;64;64;128;512;0;0;0;0;0;0;0;0;0.000000;0.000000;1;0;1;0;52;0.00876563
11;2;19;2;3;64;64;FilterProject;0.03375;0.010;1.030;1.120;0.000;1.030;4;0;4;0;4;128;0;128;1.000000;1.000000;32.000000;32.000000;0.000000;4;264;324;64;0;0;0;0;0;0;0;0;0;0;1.000000;0.000000;1;0;0;0;18;0.03375
11;2;20;2;2;4;64;LocalExchangeSinkOperator;0.0275;0.000;0.100;0.010;870.070;0.100;4;0;4;0;4;128;0;128;1.000000;1.000000;32.000000;32.000000;0.999873;0;16;4;4;0;0;0;0;0;0;0;0;0;0;0.000000;0.000000;1;0;1;0;8;0.0275
11;2;21;3;2;64;64;FilterProject;0.0640156;0.067;2.040;1.990;0.000;2.040;159664;0;159664;0;159664;1636480;0;1636480;1.000000;1.000000;10.249524;10.249524;0.000000;20;550;594;64;0;0;0;0;0;0;0;0;0;0;7983.200000;254925928.960000;1;0;0;0;30;0.0640156
11;2;22;3;1;64;64;LocalExchangeSinkOperator;0.0717969;0.000;4.380;0.215;1660.000;4.380;159664;0;159664;0;159664;1636304;0;1636304;1.000000;1.000000;10.248422;10.248422;0.997240;0;768;64;64;0;0;0;0;0;0;0;0;0;0;0.000000;0.000000;1;0;1;0;23;0.0717969
